Year,Total_Ships,Total_Tonnage_Billion,Market_Size_Million_USD,Number_of_Companies,Direct_Employment,Growth_Rate_Percent
2019,18945,1.21,685,98,3650,4.2
2020,18234,1.15,658,101,3580,-3.9
2021,19156,1.25,712,108,3890,8.2
2022,19875,1.32,795,118,4120,11.7
2023,20649,1.40,850,127,4350,6.9
2024,21384,1.46,920,134,4580,8.2
2025,22256,1.53,1005,142,4850,9.2
2026,23187,1.61,1095,151,5180,9.0
2027,24165,1.70,1195,162,5560,9.1
2028,25194,1.79,1302,174,5980,9.0
2029,26277,1.89,1420,188,6450,9.1
2030,27418,1.99,1548,203,6970,9.0
